,0
1_REAL,3.468675374984741
1_BASE,2.4304277896881104
1_SA,2.50209379196167
1_A,2.383479356765747
2_REAL,3.4852776527404785
2_BASE,2.78849720954895
2_A,2.390388250350952
2_B,3.075437307357788
